partition,in,out,red,T
Particion 1-1, 70.0000, 62.2222, 0.0000, 0.3880
Particion 1-2, 66.6667, 64.4444, 0.0000, 0.3824
Particion 2-1, 61.1111, 71.1111, 0.0000, 0.3855
Particion 2-2, 71.6667, 67.2222, 0.0000, 0.3858
Particion 3-1, 61.6667, 75.5556, 0.0000, 0.3853
Particion 3-2, 67.7778, 67.2222, 0.0000, 0.3912
Particion 4-1, 72.7778, 71.6667, 0.0000, 0.3876
Particion 4-2, 65.5556, 70.0000, 0.0000, 0.3882
Particion 5-1, 74.4444, 68.8889, 0.0000, 0.3959
Particion 5-2, 66.6667, 69.4444, 0.0000, 0.3947
Media, 67.8333, 68.7778, 0.0000, 0.3885
Max, 74.4444, 75.5556, 0.0000, 0.3959
Min, 74.4444, 75.5556, 0.0000, 0.3959
Desv. Típica,4.2270, 3.5815, 0.0000, 0.0041
