partition,in,out,red,T
Particion 1-1, 63.5417, 64.4330, 0.0000, 0.4155
Particion 1-2, 63.4021, 64.5833, 0.0000, 0.4285
Particion 2-1, 64.5833, 60.8247, 0.0000, 0.4463
Particion 2-2, 61.8557, 67.7083, 0.0000, 0.4315
Particion 3-1, 66.1458, 63.9175, 0.0000, 0.4214
Particion 3-2, 63.9175, 65.6250, 0.0000, 0.4154
Particion 4-1, 62.5000, 66.4948, 0.0000, 0.4131
Particion 4-2, 65.9794, 65.1042, 0.0000, 0.4158
Particion 5-1, 65.1042, 64.9485, 0.0000, 0.4180
Particion 5-2, 63.9175, 66.1458, 0.0000, 0.4202
Media, 64.0947, 64.9785, 0.0000, 0.4226
Max, 66.1458, 67.7083, 0.0000, 0.4463
Min, 66.1458, 67.7083, 0.0000, 0.4463
Desv. Típica,1.3199, 1.7430, 0.0000, 0.0097
