0,algorithm,inW,outW,redW,TW,inL,outL,redL,TL,inA,outA,redA,TA
1,KNN,96.3453,96.1338,0.0000,0.0144,69.9444,74.1667,0.0000,0.0334,63.4729,63.0047,0.0000,0.1033
2,SFS,95.6000,92.8296,90.3333,0.2664,75.6000,69.7222,91.4444,1.6574,79.1000,72.1247,97.9137,3.9018
3,AGG,98.3130,95.6421,50.0000,84.4891,77.6667,73.5000,52.0000,166.2578,76.4728,64.3482,68.5771,544.5233
4,AGE,98.2081,95.3606,33.3333,122.0403,77.5000,74.4444,47.3333,182.7097,74.4008,63.4703,24.0316,960.5723
5,AGG-H,98.4185,95.2200,48.0000,86.5553,79.8333,74.5556,56.4444,151.5060,76.8385,65.4360,69.2885,535.8592
6,AGE-H,98.1725,95.8179,34.6667,121.4294,79.0000,74.3889,44.8889,198.5784,75.6508,65.0210,29.6443,950.9298
