partition,in,out,red,T
Particion 1-1, 79.3814, 65.6250, 52.5692, 654.9527
Particion 1-2, 70.8333, 61.3402, 50.5929, 785.4513
Particion 2-1, 73.7113, 67.1875, 54.9407, 610.6740
Particion 2-2, 72.9167, 63.4021, 56.1265, 780.0308
Particion 3-1, 72.1649, 63.5417, 53.7549, 689.6296
Particion 3-2, 75.0000, 66.4948, 54.5455, 829.8546
Particion 4-1, 75.2577, 63.0208, 64.0316, 493.0943
Particion 4-2, 74.4792, 68.5567, 52.9644, 809.4174
Particion 5-1, 75.7732, 64.5833, 56.9170, 612.9840
Particion 5-2, 74.4792, 65.4639, 58.8933, 653.5781
Media, 74.3997, 64.9216, 55.5336, 691.9667
Max, 79.3814, 68.5567, 64.0316, 829.8546
Min, 70.8333, 61.3402, 50.5929, 493.0943
Desv. Típica,2.1954, 2.0586, 3.6064, 102.2490
