partition,in,out,red,T
Particion 1-1, 74.4444, 75.0000, 54.4444, 154.8033
Particion 1-2, 82.2222, 76.1111, 63.3333, 130.6320
Particion 2-1, 79.4444, 64.4444, 50.0000, 165.4983
Particion 2-2, 76.1111, 75.5556, 55.5556, 153.3831
Particion 3-1, 68.3333, 77.2222, 52.2222, 158.3535
Particion 3-2, 79.4444, 76.6667, 52.2222, 166.7048
Particion 4-1, 81.6667, 74.4444, 54.4444, 156.0849
Particion 4-2, 80.0000, 73.3333, 58.8889, 143.8847
Particion 5-1, 79.4444, 71.1111, 51.1111, 162.8499
Particion 5-2, 77.7778, 73.8889, 51.1111, 161.4610
Media, 77.8889, 73.7778, 54.3333, 155.3655
Max, 82.2222, 77.2222, 63.3333, 166.7048
Min, 68.3333, 64.4444, 50.0000, 130.6320
Desv. Típica,3.8873, 3.5382, 3.8952, 10.4003
