partition,in,out,red,T
Particion 1-1, 97.5439, 95.7747, 56.6667, 84.5276
Particion 1-2, 99.6479, 94.3860, 50.0000, 95.8134
Particion 2-1, 98.2456, 96.1268, 66.6667, 83.8883
Particion 2-2, 97.8873, 96.4912, 56.6667, 81.5165
Particion 3-1, 97.8947, 96.4789, 56.6667, 85.0811
Particion 3-2, 97.5352, 95.4386, 53.3333, 91.1654
Particion 4-1, 98.9474, 95.4225, 53.3333, 90.2284
Particion 4-2, 97.8873, 94.0351, 50.0000, 92.1495
Particion 5-1, 97.5439, 95.0704, 46.6667, 95.7547
Particion 5-2, 98.2394, 94.0351, 63.3333, 73.1791
Media, 98.1373, 95.3259, 55.3333, 87.3304
Max, 99.6479, 96.4912, 66.6667, 95.8134
Min, 97.5352, 94.0351, 46.6667, 73.1791
Desv. Típica,0.6489, 0.8851, 5.8119, 6.6939
